Reviews,Ratings
"
  Oneplus is always Oneplus.Very good phone at this price. Nice looking and decent performance. Delivery boy was very good. He asked me to open in front of him running camera. This kind of guys really need in this job.
",5.0 out of 5 stars
"
  Super in chargeing super photo must buy it
",5.0 out of 5 stars
"
  First oneplus product owned till now and I am quate Happy with mobile with respect to camera quality, features provided too. Reagarding its operating system it's very very smooth, also battery runs for a day using zoom and microsoft teams meetings.
",5.0 out of 5 stars
"
  good
",5.0 out of 5 stars
"
  Good buy
",5.0 out of 5 stars
"
  Awesome phone, received in good packaging and well before time. Love the product and service by Amazon. Thankyou
",5.0 out of 5 stars
"
  Editing it after a week of usage.",5.0 out of 5 stars
"
  Excellent 👌all are super
",5.0 out of 5 stars
"
  The mobile is lightweight and feature wise it is excellent... prompt delivery by Amazon.... performance wise it is early to say but affordable and simple in operation
",5.0 out of 5 stars
"
  I really like the processor and the quality of camera but this phone's battery life drains much faster than the older OnePlus mobiles . Also it heats up faster than the others
",5.0 out of 5 stars
"
   The mobile is a light weight and good to use , comes with 3.5mm jack as well,",5.0 out of 5 stars
"
  Camera quality is very good,the phone is very light weight and it has very good sound quality.
",5.0 out of 5 stars
"
  Nothing to say
",5.0 out of 5 stars
"
  Best
",5.0 out of 5 stars
"
  Battery Backup is excellent
",5.0 out of 5 stars
"
  The smartphone screen got completely blackout only after 10 min.
",1.0 out of 5 stars
"
  Warp charge was the best go for it
",5.0 out of 5 stars
"
  Don't switch to OnePlus, it used to be a good company, but now they're also like other brands.",1.0 out of 5 stars
"
  Battery back-up good.
",5.0 out of 5 stars
"
  Good
",5.0 out of 5 stars
"
  Go for it.
",5.0 out of 5 stars
"
  Amazing processor for this price range
",5.0 out of 5 stars
"
  Awesome product
",5.0 out of 5 stars
"
  heating issue",1.0 out of 5 stars
"
  Just say one word it's a phone that everyone want to use in this kind of mid range price
",4.0 out of 5 stars
"
  Amazing superb mind blowing
",5.0 out of 5 stars
"
  I am fully satisfied best phone in this segment value for money
",5.0 out of 5 stars
"
  10 out of 10
",5.0 out of 5 stars
"
  Good one !",5.0 out of 5 stars
"
  First of all this phone has degraded quality based on processor, camera, charging etc compared to other OnePlus devices including OnePlus Nord. Selfie camera is just way too pathetic.takes too much time for charging .. in short its just like all other average android phones with big price tag!!! Not much speciality of OnePlus features. Over priced!
",1.0 out of 5 stars
"
  Amazing Product One plus.
",5.0 out of 5 stars
"
  Awesome phone",5.0 out of 5 stars
"
  One+ mobile screen is Good and all phone is Very good
",5.0 out of 5 stars
"
  Awesome thanks and Good Camera 📷 Quality
",5.0 out of 5 stars
"
  Extremely user friendly.",5.0 out of 5 stars
"
   Not good phone
",5.0 out of 5 stars
"
  Good
",5.0 out of 5 stars
"
  I got my phone today afternoon. This is just a quick review for anyone considering to buy. I went ahead with the phone because my usage is pretty basic, I don't game much and I am on a budget. Plus, I've used oneplus phone before thus the blind trust. (Fingers crossed)",5.0 out of 5 stars
"
  Good phone . smooth and handy...
",5.0 out of 5 stars
"
  Good
",5.0 out of 5 stars
"
  Great Phone..
",5.0 out of 5 stars
"
  Nice product
",5.0 out of 5 stars
"
  It's more than better than I expected",5.0 out of 5 stars
"
  Great good phone
",5.0 out of 5 stars
"
  • Lightweight and slim",5.0 out of 5 stars
"
  Nice Phone
",5.0 out of 5 stars
"
  Please don’t buy one plus nord ce. It’s useless phone .",1.0 out of 5 stars
"
  Just blindly go for it i have using it since 1month 10 days performance was top notch midrange flagship killer with performance
",5.0 out of 5 stars
"
  After 3 days of usage I can say that it's worth buying this phone.... Good battery... Great Camera.. Smooth Experience",5.0 out of 5 stars
"
  Slim & light weight
",5.0 out of 5 stars
"
  Good design
",5.0 out of 5 stars
,5.0 out of 5 stars
"
  Nice
",5.0 out of 5 stars
"
  Nice entry level oneplus smartphone
",5.0 out of 5 stars
"
  Very nice mobile. Im happy with oneplus. Great mobile.
",5.0 out of 5 stars
,5.0 out of 5 stars
"
  Nothing to dislike about it.. extremely best smartphone in this price range.
",5.0 out of 5 stars
"
  Decent midrange phone..
",5.0 out of 5 stars
,5.0 out of 5 stars
"
  I didn't receive my pre-order cashback Yet!
",5.0 out of 5 stars
"
  Nice Product",5.0 out of 5 stars
"
  love it!!
",5.0 out of 5 stars
"
  I am a One plus Fan and was eagerly waiting for my Nord CE which I pre-ordered. I received it on 19th(thanks for the quick delivery Amazon). But as soon as I turned on phone I was surprised that they removed the button to switch the phone to silence mode. The body looked cheap. I own a One Plus Nord 5G mobile and Below are my reviews on the new Nord CE phoneAfter testing it for 24 Hours rigourously.",1.0 out of 5 stars
"
   Worst product experience.",1.0 out of 5 stars
"
  So here is my review after 3 days of monitoring performance and overall experience. I am first time one plus user. Always wanted to try one plus . I am a samsung lover and also iphone user. For me comfort, ease and technologically advanced features matter the most. This phone is very well in all these aspects. I have medium to high usage. Call and texts throughout the day. Checking websites making notes, social media usage is high too. With my old phone samsung A50 I could get issue with battery by the time it is 7pm  to 8pm but with this phone it survives well till 12am too. Not sure if it is genuinely fast charging as haven't got a chance to charge in hurry or so.",5.0 out of 5 stars
"
  You should not buy this phone because it's literally waste of your money!! After using 3 days i have already started to get some issues , battery is fine and camera quality is too bad and night mode is even more worse !! See i am not having any personal issues , i just want others to not waste their money like me .
",1.0 out of 5 stars
"
  The OnePlus Phone is excellent in class...!!!",5.0 out of 5 stars
"
  Dual App option not available for all the Apps. It makes me very disappointed.
",1.0 out of 5 stars
"
  Awesome CAmera",5.0 out of 5 stars
"
  Better backup disappointed
",5.0 out of 5 stars
"
  Its a good phone in this price range. The OS, performance, the quality, all are good. You should try this if you are planning to buy a mid range phone.
",5.0 out of 5 stars
"
  So I'll get straight to the point.. This is an excellent phone for people who haven't used one plus phones and want to try out a new OS.",3.0 out of 5 stars
"
  Really happy to have this one .... Loved it
",5.0 out of 5 stars
"
  This device is not even close to 12 gb ram.. I have OnePlus 3 as well which is still working and usable than this device. Camera is lagging, Apps crashing, touch issues, over heating. If you're a minimal user like calls, social networking and basics then buy it. Don't be under the impression that it is similar to rest of the OnePlus devices.
",1.0 out of 5 stars
"
  I'm a previous user of oneplus 6. Though my previous one was a flagship product back then, I didnt use too much.",2.0 out of 5 stars
"
  Best performance at this price range
",5.0 out of 5 stars
"
  Good product at such an affordable price.Wow just wow😍
",5.0 out of 5 stars
"
  Excellent phone in this price
",5.0 out of 5 stars
"
  This is my first pre-order phone and I ordered this phone on 11th June and Amazon has delivered on 18th June.",4.0 out of 5 stars
"
  This phone is a total disappointment. I had been using OnePlus 5T for over 3 years and the phone was working brilliantly with no flaws in performance whatsoever. Hence, decided to stick with the OnePlus brand and bought the Nord CE5G. However, this is nowhere close to my old phone and has multiple issues. Deleting of files on gallery takes forever, proximity sensor is faulty prompting you to mute yourself in between calls, jiotv doesn't work and the touch performance is below par. I would not recommend this phone to any existing OnePlus user!
",1.0 out of 5 stars
"
  I pre-ordered this 6/128 Charcoal Ink variant on 11th and recieved on 19th..",4.0 out of 5 stars
"
  Awesome!!!!
",5.0 out of 5 stars
"
  Amazing product. Very nice display. Good camera. Good sound. Overall amazing use experience in this prince range.
",5.0 out of 5 stars
"
  Even though it has 64mp, camera clarity is poor in pro mode. Pictures look like taken in 12mp camera.",3.0 out of 5 stars
"
  Below are my thoughts after using this phone for a week. Hope it would be helpful for you buyers. Uploaded photos in all the modes.",5.0 out of 5 stars
"
  1) camera quality - Average",1.0 out of 5 stars
"
  Camera aur battery Bilkul kharab amazon replacement kiya h dekhte kesa aata h",1.0 out of 5 stars
"
  Wonderful phone at this cost. Very smooth operation. Size perfect for a perfect grip. Light weight. Screen resolution is too good. Camera quality is also very good. Shoots good images even in low light. True colour reproduction. Every feature perfect mobile except that its speaker is not dual speaker and out put is bit ok.
",5.0 out of 5 stars
"
  Disappointed with camera.. Camera  is worst in low light. 10000 rs mobiles can capture good pictures than oneplus nord CE. Battery also drains fast. The only good thing about this mobile is smooth performance.
",1.0 out of 5 stars
"
  Ohh OnePlus Nord CE",3.0 out of 5 stars
"
  After using Oneplus 3 for almost five years, I bought this phone and really disappointed.",2.0 out of 5 stars
"
  I am very disappointed after seeing such type of quality from one plus brand .the camera quality is lyk phone under 10k .",2.0 out of 5 stars
"
  Awesome mobile i loved it because of the speed clarity and camera like ect. And it is user friendly also
",5.0 out of 5 stars
"
  Dont buy :",1.0 out of 5 stars
"
  Good phone and Amazon's should keep good executive if it has to be leader in Indian market.Keep Gujrati rather than punctureputra
",5.0 out of 5 stars
"
  1. The phone operations are unstable",1.0 out of 5 stars
"
  My sixth OnePlus and it was total disappointment this time with Nord CE",1.0 out of 5 stars
"
  I received my One Plus Nord CE 2 days after it was launched. I am writing this review after using it for about a week.",4.0 out of 5 stars
"
  The entire phone rides on the Oxygen OS. I personally am an OnePlus fan boy and have been using OnePlus since OnePlus 3. I switched from my 3 year old OnePlus 6 to Nord CE and to me, it feels like an upgrade. Battery life is fantastic and you can look at this gorgeous display all day long. I am missing the alert slider since I have been used to it, otherwise everything works like a charm. Vibration motor feels extremely cheap, but I am person who doesn't use haptic feedback so it didn't affect me much.",4.0 out of 5 stars
"
  When will the silver color available",5.0 out of 5 stars
"
  Pros and cons according to me",5.0 out of 5 stars
"
  The phone is sleek. Super handy. The blue color is killler. Screen is smooth processor is fast. The over-all feel is top notch premium.",5.0 out of 5 stars
"
  Why no reviews ? It's a great phone at this price point , lighter and slim ..Wish they had made this a 6 inch phone..must buy if you want slim ,light weight,. mid range price
",5.0 out of 5 stars
"
  It was my 1st oneplus mobile and I am totally disappointed with the quality. The mobile screen was having 2 tiny black dots may be dead pixels when it got delivered to me 1st time. I have requested the replacement. To my surprise even the replaces Mobile set was also having 1 tiny black dot. I have uploaded pics of both the phones. Totally disappointed with oneplus mobile. I wish I could return it and get the refund. Pathetic experience.
",1.0 out of 5 stars
"
  First of all",5.0 out of 5 stars
"
  Superb
",5.0 out of 5 stars
"
  Upgraded from One Plus 5T which I used for more than 3 years. Been using this one for a week now and I'm really happy with the purchase. The problems I had with my previous phone which this one solves are:",4.0 out of 5 stars
"
  1. When I took the main phone package, the outside lamination was done using poor polyethene cover, was very thin and easily tear-able.  Original packing will have a really sturdy lamination.",1.0 out of 5 stars
"
  Worst mobile I think a Xiaomi in 10k segment is better than this OnePlus Nord CE. daily I have to go through different problems in this device no proper updates and the great Amazon dosent have a return policy even if a newly purchased mobile is faulty 😂 great.. my money 27k is wasted pls don't waste yours..",1.0 out of 5 stars
"
   Pros:",1.0 out of 5 stars
"
  Phone has hang issues while at call, volume up an down not working while using wts app. I am a loyal one plus user from last 6 yrs but I think I made a mistake buying this low end mobile. One plus team pls help to refund my money as I will buy higher end one plus mobile than this cheap hanging phone. Hope to hear from you at the earliest and resolve my issue
",1.0 out of 5 stars
"
  I bought this phone by exchanging my old OnePlus 6T. Got only 9250/- for exchange which felt bad. The only thing I saw is 5G",4.0 out of 5 stars
"
  I loved it 😍❤️😍.... Just awesome 👌😊👍
",5.0 out of 5 stars
"
  From day1 this start heating, charger is taking 3 hours to complete battery, slow on dialing the number. Can't expect this type of issue in one plus.",1.0 out of 5 stars
"
  Design : 9/10",5.0 out of 5 stars
"
  Best mobile under price range
",5.0 out of 5 stars
"
  This is my third week of using 1plus nord CE. Phone is awesome in terms of performance. Camera quality is good but you need to use correct mode for motion pictures. Panorama pic quality is simply awesome. Only turn down factor is battery. It lasts hardly 12 hrs with average use of phone. Not yet tried any music app. Currenly using with 4g sim so I can not talk about 5g speed. If you are planning to buy I think better wait for Nord2 and take best out of the two.
",3.0 out of 5 stars
"
  If you are buying OnePlus for the very first time, please take a note of below :",2.0 out of 5 stars
"
  Yeah the product is up to the expectations. No lag while switching to multiple apps, no heating issue. Battey is lasting for more than a day and the phone is very light. If someone can manage to use it without cover/cases, it'll be a delight.",4.0 out of 5 stars
"
  The phone is great
",5.0 out of 5 stars
"
  I bought this with great expectations.",3.0 out of 5 stars
"
  phone got jammed. no app or feature is responding. such a frustrating behaviour. i want to return it , but cleverly they have not given any option for return, rather replacement by the same model has been given. what's the guarantee the new phone of same model will not show such awkward behaviour ?? its a cheating. i wasted my hard earned INR25K .
",1.0 out of 5 stars
"
  So I pre ordered the phone on 11th and got it on 17th June, the delivery was great from both the amazon and their delivery partner. Now lets talk about the phone",4.0 out of 5 stars
"
  Camera Quality of this phone is not upto mark. I am very disapointed with the camera quality. As i am verified Influencer on Amazon i was looking for best camera quality phone but One Plus NORD CE dissapointed me.",1.0 out of 5 stars
"
  Lovely
",5.0 out of 5 stars
"
  Awesome
",5.0 out of 5 stars
"
  It's awesome Mobile really i love one plus future & Everything is running so fast camera is awesome all futures are greet
",5.0 out of 5 stars
"
  Pros:",4.0 out of 5 stars
"
  I had been waiting to buy a new phone from quite some time and it's sad to see all those efforts wasted. The time spent on seeing unboxings, reviews and opinions. In short, this is not the phone I was looking for.",1.0 out of 5 stars
"
  Pros : 90 hz amoled screen , Oxygen OS clean and simple, Fast charging, light weight and regular software updates",4.0 out of 5 stars
"
  I am someone who loves black and space grey colors all the time. For a change I chose the best color on One Plus Nord and it’s this multi - dimensional (sort of) Blue that is the best in Nord Line up. My previous phone was One Plus 3 and it worked so well until the battery died and there are no archives for an original One Plus 3 battery.",5.0 out of 5 stars
"
  This is my first One plus product. Bought the 12/256GB variant. I am not a professional reviewer but a power user here is my opinion so far on this phone after 2 days of usage.",4.0 out of 5 stars
"
  Been using this device since  past two weeks,The phone is quite slim and is handy to use,the camera is a bit disappointing at that price point,and the phone isn't having dual stereo speakers but the voice is quite loud,was disappointed that the phone didn't have the OG ALERT SLIDER (COST CUTTINGS), but,the UI i.e Oxygen OS is one point didn't feel a lag till now and didn't feel much difference compared to the flagships(I also use a OnePlus 8)...The conclusion I would like to give is if you don't care much about camera and price, can go for it,or else there are many other phones In the market with a bit better features than this at much lower or similar price,but you can't get such amazing user experience on any other phone.
",4.0 out of 5 stars
"
  Bought this after lot of deliberation. I have used OP 2 and OP 5T as my primary devices over the past 5 yrs with breif stint with iphone 6 and 8 in between until I handed them over to my spouse and got back to OP.",5.0 out of 5 stars
"
  Don't go by the name is what I learnt from this phone.",3.0 out of 5 stars
"
  This phone can be rated as 4/5",4.0 out of 5 stars
"
  This is first time I am using OnePlus phone. It's my honest opinion after using 2 months of this mobile.",5.0 out of 5 stars
"
  This is the best smartphone you can get at this price. Really the hardware and software is wonderful.",5.0 out of 5 stars
"
  This phone is not that good to meet brand name... pathetic camera... Very slow processor... Taking long time to delete pics and other things..... I was not expecting this from one plus at least, I over choosed one plus this phone over others and very disappointing.... No auto call recording, phon gets slow while using multiple apps... Not sure if there is any anti-virus inbuilt in the phone.... Sometimes gets completely stuck and frustrating.. I would advise to get an update for this new phone from one plus and get it better",1.0 out of 5 stars
"
  suddenly phone hanged and mobile display is not working in just 12 days. amazon have only 7 day product replacement.what can i do now.i was spend 25000 thousand rupees on that phone .
",1.0 out of 5 stars
"
  Excellent mobile in the given cost range. Waited patiently for the Silver Ray colour. Looks stunning and ultra light and superfast. Overall satisfied with product. Only downside is its front camera as its below average. Battery is lasting for me about a day after heavy mobile usage. So all claimining about fast battery draining is not true. Dont believe in negative comments. I have been using One Plus for more than 4 years. It will never disappoint you. Considering the costing One Plus has managed a great deal. U get One Plus experience, fast charging, lag free device, superb rear camera and ultra light mobile and if thats not all u will keep on getting updates for next two years and security support for 1 year after that. This is an awesome deal considering all the parameters.
",4.0 out of 5 stars
"
  Good phone but price is lillte high. Should be priced around 20k
",4.0 out of 5 stars
"
  A really good phone to buy in this range. I am the first time user of one plus and I really like it. I was always an MI or Samsung guys, for the first time I changed it to One Plus. And I really like it.",5.0 out of 5 stars
"
  OnePlus Nord ce Not worth for that price",3.0 out of 5 stars
"
  The product is good in terms of OS, fingerprint sensor, Screen resolution. With the 8 GB RAM, all high res. games are working fine without any glitch. BUT IN TERMS OF PICTURE QUALITY, IT COULD HAVE BEEN BETTER. Despite 64 MP, the pictures looks distorted and pixel break even on minor zoom.
",4.0 out of 5 stars
"
  Great phone.",5.0 out of 5 stars
"
  This review comes after almost a month of use. So far uptill now it's normal and nothing great in this phone. Secondly I am unable to understand why OnePlus is constantly releasing new models every other month. There seems to be constant effort to improve the devices. Thirdly I agree with reviews that 25k for this device is very expensive.i will give it 7 out of 10 overall and surely not a good buy if they are releasing improvements every month.
",4.0 out of 5 stars
"
  I had lots of hope with this phone launch..",4.0 out of 5 stars
"
  Rate is bit high comparing other mobiles but the performance is good camera is average worth for price mostly mid range gaming mobile
",5.0 out of 5 stars
"
  Bought the 6GB/128GB the only VFM variant for 21.5K (1K HDFC+500 Amazon pay cashback).",5.0 out of 5 stars
"
  Pros",4.0 out of 5 stars
"
  I'll go in points. Some points you should consider while buying.",3.0 out of 5 stars
"
   This is my first OnePlus and really disappointed",1.0 out of 5 stars
"
  The phone is absolutely good i have no isssue",4.0 out of 5 stars
"
  First thing is the phone is light and touch response is too good. If you are iphone user then you will realise it has some functionality like iOS. Camera is good and battery backup is very good. Speed is good and quality of display is good.",5.0 out of 5 stars
"
   Switched Over from Nokia 6.1 (4GB RAM 64 GB ROM)  to OnePlus Nord CE 5G (12 GB Ram 256 GB ROM.)",4.0 out of 5 stars
"
  1 Camera is ok for this price.",4.0 out of 5 stars
"
  It's been almost 10 days since I'm using one plus Nord ce. I replaced my one plus 6 with this  product and believe me one plus 6 was much better.",3.0 out of 5 stars
"
  Want to try one plus from few years but after getting this disappointed lot.",2.0 out of 5 stars
"
  Call recording feature is disgusting , no auto recording system and when you record the conversation an automated voice starts that your recording has begun. Disgusting. Some other features are disgusting too. As per the price of the phone I do not find it useful. One plus nord or nord ce5 are degraded version of one plus. Not upto the mark , one plus 5, 6 ,7 etc are best but one plus nord series are the worst.
",2.0 out of 5 stars
"
  This phone isn't for someone who doesn't care about user experience. If you want the 1+ experience you have to pay the big bucks. This phone is for someone who wanted a OnePlus device but couldn't afford one.",5.0 out of 5 stars
"
  Best buy ...... Battery alive for 3 days without charging for minimal usage (calks, text, WhatsApp & You tube videos) -",5.0 out of 5 stars
"
  One plus nord CE has big time network issues. Purchased on 20.06.2021. I am not able to do or recieve calls. I have to restart all the time. My wifi speed is of 250 MBps. Still not able to do any whatsapp call. I tried reset the network, wifi and bluetooth. But of no use. I am using two recently changed new SIM cards. I have restart all the time to place a call. This is too frustrating. Please fo not buy this phone. I am trying return it but I can see only replace option as of now.
",1.0 out of 5 stars
"
  The Name says it all. Has been using 7pro for 2+ years, And now bought Nord CE for my son. 'No Problem at all till date'.",5.0 out of 5 stars
"
  Not a good experience overall after use of 4days. Camera quality is so poor. 64 MP back camera works like a 8 MP or 16 MP. Heating issue is another concerning point. If you use it for video call or gaming the phone is heated up quickly. This version of one+ is just defaming one+ or you can say the deterioration of one+ started. This is my first experience of any one+ and earlier I heard that one+ is like Apple for those who is really concerned about budget. But this experience of one+ really disappointed me.
",2.0 out of 5 stars
"
  Please buy this product only if you wish to have a phone under the brand name of ""One plus"" or else it's not worth it. The camera are not good at all it's below average and front camera is just pathetic. However having a phone of 8gb ram and 128 gb storage is not that bad at this price that too under brand name of ONE PLUS but please don't expect much out of it. Apart from this the fingerprint sensor is just pathetic.it never works when you try to unlock an application using fingerprint
",3.0 out of 5 stars
"
  I am using this phone since last few weeks and here is my honest review.",3.0 out of 5 stars
"
  It is a major upgrade for me from my last phone so I really liked it.",3.0 out of 5 stars
"
  Its the worst mobile so far from oneplus.",1.0 out of 5 stars
"
  Hello everyone I am Rudraditya and a tech youtuber and I have been using this phone from last 9 days",4.0 out of 5 stars
"
  The phone performance is good so far. The camera is good. Only thing is felt was the quality of the screen guard they provided with the phone. It was of very poor quality. The delivery was prompt. They delivered within 24 hrs.  The case they provided with phone is very good.
",4.0 out of 5 stars
"
  For an average user who needs a phone for calling, social media and watching videos, this phone is will do the job for you. Camera could have been better. But the ease of using Oxygen software makes up for it.",4.0 out of 5 stars
"
  Review after using mobile for 10 days .. following difficulties are found..",1.0 out of 5 stars
"
  People are comparing it with Nord OG which is not fair, every device ha sits own pros and cons..",4.0 out of 5 stars
"
  I don't know why these many bad reviews ..may be they are from iqoo z3 promoters 🤣...this device is simply superb , awesome user experience , great display , superb audio output even though it doesn't support Dolby Atmos, great camera , I like everything from this beast , just go for it.
",5.0 out of 5 stars
"
  I see a lot of comments that it's not like other one plus devices. Obviously if you will compare it with 50 k devices you will feel it is inferior. But let's not forget that this phone is mainly launched for those mid range customers who want to try one plus brand for first time, and I am one such user (i.e. using one plus device for the first time), and I must say that my experience is very good. Summary:",5.0 out of 5 stars
"
  apart from battery life all specs are very good and very easy to access the phone with smooth touch and fast app opening and camera funtions.",4.0 out of 5 stars
"
  Ordered 8gb/128 for 24999 in which i got 500 cashback that is oretty good.",1.0 out of 5 stars
"
  I just ordered this phone on 20 June and delivered the same on very next day on 21st June.",1.0 out of 5 stars
"
  Spending 25k for a phone that is just like realme 7 .. not amazing camera just like mi note series and performance... No Corning Gorilla glass cheap back plastic... Fingerprint scanner is slow..
",3.0 out of 5 stars
"
  Mine one is void blue 12gb ram 256gb internal, well let me cover the upper review first. This is a 12gb variant so its ovious battery will drain fast plus with the refresh rate of 90hz its expected to drain. With the software update my phone is charging up fast as its mentioned . Now coming to the overall view of the phone.",4.0 out of 5 stars
"
  Pathetic Phone. Camera clarity is not to the mark of One plus, it's not able to support 4G better god knows what 5G will it support. Been using for a week now and initially I thought it might take time for me to figure out settings.",1.0 out of 5 stars
"
  After using for a week my views are as follows-",5.0 out of 5 stars
"
  Oxygen os is amazing . Cms with lots of customisation  and user friendly.",4.0 out of 5 stars
"
  Moving to 50-60k phones, one plus is trying to fool ppl by selling low configuration phones on the name of brand, exploiting good will and trust ppl have shown in past...",2.0 out of 5 stars
"
  It's a Good Overall phone with Excellent in Hand feel as it's slim and light weight and packs a good 4500 mah battery which gives pretty amazing battery life and 30w wrap charging is just blazing fast needless to say. 😁",5.0 out of 5 stars
"
  Overall performance is good.. battery charges quickly.. no heating issues so far.. I didnt get a chance to use the camera well but  initial usuage seems to b good.. may b expert photographers will share a better review.. gave a 4 rating bcz its been only 2 days of usage and it is doing a very good job for 25 k..will share further pros and cons if any.. plzz expect
",4.0 out of 5 stars
"
  Use the phone largely for making calls or taking calls. No games.",2.0 out of 5 stars
"
  I have been using many of the OnePlus mobile's now , that's the reason I took the mobile without a doubt but the mobile is waste of money . The camera is so pathetic. Even the mobiles which cost less than 8k take good pictures and ofcourse the quality of the front camera is even worse . So if you are a person who use it for video calling or taking pictures this mobile is definitely not for you. Despite its a new mobile it heats up a lot. Over all its the worst mobile one plus has ever manufactured
",1.0 out of 5 stars
"
  This is my first One Plus phone and I have to say that I am extremely disappointed with the Phone. All those who listen to Music on the Run, will be disappointed with the buggy software on the Phone. When you are listening to Music on your Bike or Jogging, and you pause it in between and then try to play it again, it doesn't resume back. Tried various workarounds to solve it, yet no resolution on this issue. I have a Moto G 5G Phone which works amazing on this aspect and other things. Even the Camera is not upto the mark though they boast of it being 64MP. Battery life is average. The look and the form factor is the only good thing, but the internal stuff sucks. Buggy One Plus...Waste of money, check for other options and stay away from this phone..
",1.0 out of 5 stars
"
  it's been 3-4 days, I am using it for normal purposes, didn't went for gaming till now, everything seems to be fine,",4.0 out of 5 stars
"
  Those who dont know Oneplus already, Just Go for this phone you wont regret. The phone has-",5.0 out of 5 stars
"
  Not as per exepctions. 8 am writing this review within just 24 hours.",1.0 out of 5 stars
"
  Best mid range phone available in the market...must not compared with any premium range. Very useful for day to day official purpose or educational purposes...for gaming purpose..ok type...my experience with this phone...",4.0 out of 5 stars
"
  Excellent value for money. Great mid range phone with upper mid range specs and hardware. There is virtually no lag at all in switching between apps. The camera is decent for night shots and indoor photography. It really shines at outdoor daytime shots and has excellent colour palette. The processor is a workhorse and currently best in class for phones at this price point. The battery is more than sufficient and with warp charging it is never a hassle to fill",4.0 out of 5 stars
"
  Please do not buy this phone. The quality of this phone is very low. They did a lot of cost cutting by reducing the quality and the speakers where soooo bad . I am a regular OnePlus user(I have OnePlus 3t,5 and 7) I bought OnePlus nord ce for my mom but when I touched the phone I knew This new OnePlus is not what it was before.. if u are looking for a phone under this price range better buy redmi Note 10 pro max for all rounder or poco X3 pro for gaming in this budget range (20-25k). I myself waiting for realme gt( flagship killer 2021) which is for 32-35k rs. Please stay away from OnePlus!!!! They are not in their right senses after Carl pei(co founder of OnePlus) left
",1.0 out of 5 stars
"
  A worst choice- poor camera and Battery.",3.0 out of 5 stars
"
   This product is really good for purchasing under 25k cam quality is too good, you must by this product.
",4.0 out of 5 stars
"
  Got delivery of phone in almost a week time,",1.0 out of 5 stars
